County,2023 General Hospital Facilities,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 Nursing Home Facilities,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers
Toombs,1,77.70%,3.3,3,68.10%,16
Towns,1,0.00%,-,1,72.90%,3
Treutlen,0,-,-,1,91.00%,3
Troup,1,34.50%,4.1,3,82.80%,22
Turner,0,-,-,1,76.80%,4
Twiggs,0,-,-,1,-,2
Union,1,0.00%,-,1,61.80%,4
Upson,1,46.40%,5,3,90.20%,6
Walker,0,-,-,4,84.10%,14
Walton,1,57.30%,3.8,2,27.30%,15
Ware,1,36.50%,4.4,3,82.90%,14
Warren,0,-,-,1,48.00%,0
Washington,1,14.30%,5.6,3,83.50%,9
Wayne,1,22.00%,4.3,3,86.10%,9
Webster,0,-,-,0,-,0
Wheeler,0,-,-,1,76.80%,2
White,0,-,-,2,50.50%,5
Whitfield,1,0.00%,-,4,71.20%,13
Wilcox,0,-,-,2,71.00%,2
Wilkes,1,27.50%,10.3,1,94.30%,3
Wilkinson,0,-,-,1,85.60%,2
Worth,1,32.20%,10.6,1,80.20%,5
