County,2023 General Hospital Facilities,2023 General Hospital Bed Capacity,2023 General Hospital Total Inpatient Days,2023 General Hospital Total Admissions,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 General Hospital Total Emergency Department Visits,2023 General Hospital Emergency Department Inpatient Admissions,"2023 General Hospital Total Admissions from Emergency Department, Percent",2023 Nursing Home Facilities,2023 Nursing Home Bed Capacity,2023 Nursing Home Total Days,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers,2023 Child Care Learning Center Capacity,2023 Family Child Care Learning Homes,"2022 Uninsured Under Age 65, All Income Levels, Percent","2022 Uninsured Under Age 65, At or Below 200% Poverty, Percent","2022 Uninsured Under Age 19, All Income Levels, Percent","2022 Uninsured Under Age 19, At or Below 200% Poverty, Percent"
POLK,1,53,"7,896",658,40.8%,12.0,"26,175",64,9.7%,3,287,"64,059",61.2%,8,626,3,15.3%,20.8%,6.8%,7.5%
PULASKI,1,55,0,0,0.0%,-,0,0,-,1,0,0,-,3,284,6,16.0%,19.0%,7.6%,7.3%
PUTNAM,1,50,0,0,0.0%,-,0,0,-,1,104,"18,919",49.8%,6,423,1,16.4%,24.2%,8.7%,10.9%
QUITMAN,0,0,0,0,-,-,0,0,-,0,0,0,-,1,44,0,17.2%,22.8%,6.5%,7.2%
RABUN,1,49,0,0,0.0%,-,0,0,-,1,113,"23,628",57.3%,2,280,5,19.7%,27.8%,8.9%,9.8%
RANDOLPH,0,0,0,0,-,-,0,0,-,1,80,"26,412",90.5%,2,146,1,15.8%,18.3%,7.1%,7.0%
RICHMOND,3,"1,823","231,204","39,739",34.7%,5.8,"136,480","26,639",67.0%,10,706,"173,937",67.5%,77,"7,579",15,12.4%,15.3%,4.8%,4.5%
ROCKDALE,1,161,"43,337","9,840",73.7%,4.4,"48,461","7,900",80.3%,2,275,"82,937",82.6%,26,"2,889",12,14.9%,21.8%,6.5%,7.7%
SCHLEY,0,0,0,0,-,-,0,0,-,0,0,0,-,1,66,0,12.3%,18.4%,6.8%,8.7%
SCREVEN,1,49,"2,185",236,12.2%,9.3,"7,672",93,39.4%,1,0,0,-,8,398,1,14.7%,18.1%,6.6%,6.6%
SEMINOLE,1,65,"8,311","1,297",35.0%,6.4,"5,064",760,58.6%,1,75,"19,928",72.8%,4,453,0,15.1%,19.4%,6.3%,6.8%
SPALDING,1,160,"36,239","7,415",62.1%,4.9,"42,701","6,045",81.5%,3,217,"65,173",82.3%,14,"1,298",9,15.2%,19.1%,6.8%,6.7%
STEPHENS,1,90,"5,265","1,169",16.0%,4.5,"13,204","1,610",137.7%,1,181,"36,050",54.6%,6,694,1,14.4%,18.8%,6.5%,6.7%
STEWART,0,0,0,0,-,-,0,0,-,1,85,"21,222",68.4%,1,48,0,16.5%,21.8%,5.1%,5.4%
SUMTER,1,143,"16,636","3,391",31.9%,4.9,"21,352","2,569",75.8%,2,322,"45,788",39.0%,10,613,5,14.3%,17.7%,6.1%,6.7%
TALBOT,0,0,0,0,-,-,0,0,-,0,0,0,-,2,68,1,14.2%,19.6%,6.4%,7.9%
TALIAFERRO,0,0,0,0,-,-,0,0,-,0,0,0,-,0,0,1,10.8%,15.7%,5.1%,6.1%
TATTNALL,1,40,"1,270",648,8.7%,2.0,"10,330",43,6.6%,2,92,"29,505",87.9%,5,380,5,15.8%,19.6%,7.1%,8.0%
TAYLOR,0,0,0,0,-,-,0,0,-,1,78,"21,619",75.9%,1,62,0,16.4%,20.2%,7.6%,7.4%
TELFAIR,0,0,0,0,-,-,0,0,-,2,219,"50,443",63.1%,3,146,0,16.4%,17.5%,6.2%,5.0%
TERRELL,0,0,0,0,-,-,0,0,-,1,74,"17,075",63.2%,3,159,0,16.3%,19.5%,7.1%,7.6%
THOMAS,1,264,"49,335","8,730",51.2%,5.7,"32,302","5,230",59.9%,4,212,"71,509",92.4%,14,"1,321",7,13.4%,18.7%,6.9%,7.5%
TIFT,1,241,"51,817","10,878",58.9%,4.8,"43,214","10,706",98.4%,2,278,"76,239",75.1%,18,"1,483",5,16.6%,21.2%,6.5%,6.8%
TOOMBS,1,57,"16,157","4,848",77.7%,3.3,"38,556","4,273",88.1%,3,347,"86,254",68.1%,16,"1,245",5,16.1%,20.4%,6.7%,7.1%
TOWNS,1,42,0,0,0.0%,-,0,0,-,1,112,"29,792",72.9%,3,199,1,14.4%,22.7%,7.1%,8.7%
TREUTLEN,0,0,0,0,-,-,0,0,-,1,50,"16,603",91.0%,3,122,2,19.5%,24.6%,8.8%,10.0%
TROUP,1,276,"34,765","8,539",34.5%,4.1,"59,873","6,765",79.2%,3,399,"120,629",82.8%,22,"2,117",5,13.9%,18.5%,5.8%,6.0%
TURNER,0,0,0,0,-,-,0,0,-,1,76,"21,294",76.8%,4,254,1,15.5%,17.9%,6.0%,5.6%
TWIGGS,0,0,0,0,-,-,0,0,-,1,0,0,-,2,108,0,14.5%,19.1%,6.2%,6.1%
UNION,1,45,0,0,0.0%,-,0,0,-,1,150,"33,824",61.8%,4,385,2,17.5%,26.2%,8.8%,9.7%
UPSON,1,115,"19,462","3,856",46.4%,5.0,"30,381","2,773",71.9%,3,190,"62,579",90.2%,6,564,2,14.1%,17.8%,6.6%,6.8%
WALKER,0,0,0,0,-,-,0,0,-,4,212,"65,089",84.1%,14,"1,730",1,13.5%,18.8%,5.8%,6.0%
WALTON,1,77,"16,091","4,282",57.3%,3.8,"44,526","3,898",91.0%,2,230,"22,957",27.3%,15,"2,070",2,12.7%,21.8%,5.9%,7.7%
WARE,1,231,"30,788","7,003",36.5%,4.4,"46,187","5,556",79.3%,3,390,"118,040",82.9%,14,"2,139",4,15.5%,17.7%,6.2%,5.4%
WARREN,0,0,0,0,-,-,0,0,-,1,96,"16,820",48.0%,0,0,1,14.5%,18.2%,6.3%,6.2%
WASHINGTON,1,56,"2,926",526,14.3%,5.6,"11,324",257,48.9%,3,120,"36,559",83.5%,9,841,4,14.2%,18.7%,5.7%,6.3%
WAYNE,1,128,"10,294","2,376",22.0%,4.3,"26,809","3,126",131.6%,3,162,"50,908",86.1%,9,436,6,18.1%,23.3%,8.0%,8.5%
WEBSTER,0,0,0,0,-,-,0,0,-,0,0,0,-,0,0,0,20.4%,27.3%,8.6%,10.5%
WHEELER,0,0,0,0,-,-,0,0,-,1,50,"14,009",76.8%,2,59,0,18.0%,19.6%,7.6%,6.7%
WHITE,0,0,0,0,-,-,0,0,-,2,149,"27,478",50.5%,5,640,0,16.7%,23.1%,9.5%,10.5%
WHITFIELD,1,255,0,0,0.0%,-,0,0,-,4,322,"83,726",71.2%,13,"1,838",8,21.4%,28.2%,9.3%,9.2%
WILCOX,0,0,0,0,-,-,0,0,-,2,101,"26,164",71.0%,2,69,0,13.8%,16.0%,5.2%,4.8%
WILKES,1,25,"2,505",244,27.5%,10.3,"6,045",135,55.3%,1,47,"16,174",94.3%,3,227,3,17.7%,23.5%,8.7%,10.1%
WILKINSON,0,0,0,0,-,-,0,0,-,1,62,"19,375",85.6%,2,110,2,14.9%,20.0%,7.0%,8.0%
WORTH,1,50,"5,883",557,32.2%,10.6,"10,360",121,21.7%,1,117,"34,262",80.2%,5,452,1,13.8%,18.3%,6.6%,7.4%
GEORGIA,130,"24,291","4,833,057","893,593",54.5%,5.4,"4,447,805","630,363",70.5%,354,"32,765","8,872,626",74.2%,"2,980","339,523","1,166",13.6%,21.7%,6.2%,8.0%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
